car_brand,purchase_date,purchase_value,engine_condition,no_of_buyers,fuel_type,kilometer_running,reparation_work,today_value
Mahindra,2019-05-29,2611886,Excellent,5,Diesel,45488,No,391179
Tata,2023-04-27,1538484,Poor,4,Hybrid,180371,Yes,104362
Hyundai,2015-02-17,2359434,Poor,4,Hybrid,105387,Yes,68740
Ford,2017-02-04,2379628,Average,4,Diesel,29076,Yes,166089
Maruti,2023-10-23,2069065,Average,4,Petrol,182717,Yes,173853
Toyota,2024-01-28,379882,Good,1,Electric,195775,No,58765
Audi,2018-02-01,1862033,Excellent,1,Hybrid,175156,No,147163
Audi,2022-10-21,2411407,Poor,4,Hybrid,105255,No,272115
Mahindra,2017-07-30,1975039,Excellent,4,Hybrid,64176,No,230707
Tata,2021-04-18,2263089,Poor,5,Diesel,20269,Yes,227926
Maruti,2015-02-20,2768719,Average,2,Electric,10233,Yes,190421
Maruti,2015-10-21,2160727,Excellent,2,Electric,56873,No,231557
Mahindra,2017-02-15,1036877,Average,3,Petrol,145838,Yes,50000
Ford,2015-10-28,2585846,Good,1,Petrol,25133,No,227027
Honda,2019-01-12,2596198,Good,5,Electric,127754,Yes,210439
Tata,2015-06-17,934959,Good,2,Hybrid,112478,No,57305
Ford,2019-12-05,868967,Good,5,Diesel,52941,No,114571
Kia,2024-05-18,2205006,Good,1,Electric,54680,No,843543
BMW,2020-09-02,2844792,Average,2,Electric,29102,Yes,449832
Ford,2017-10-22,2826681,Poor,3,Diesel,101275,No,143362
Hyundai,2020-01-30,1548108,Good,4,Diesel,10375,No,260656
Ford,2018-05-22,2647556,Excellent,2,Diesel,117487,Yes,257509
Hyundai,2020-12-01,2699640,Good,4,Electric,67808,No,473275
Maruti,2016-01-19,696490,Average,2,Diesel,71528,Yes,50000
Maruti,2015-11-29,1520771,Average,3,Hybrid,25976,No,111101
BMW,2022-08-16,2177752,Good,3,Hybrid,190376,No,237050
Kia,2015-05-14,2163645,Average,5,Diesel,113310,No,82131
Kia,2018-01-09,2679960,Average,2,Hybrid,194259,No,112461
Ford,2022-06-13,1032814,Average,1,Diesel,196347,Yes,77484
Mahindra,2019-12-02,1836893,Excellent,1,Diesel,182677,No,172286
Audi,2019-08-28,2821533,Good,2,Petrol,42770,No,410777
Hyundai,2016-10-23,1473244,Excellent,4,Electric,69636,No,157678
Honda,2018-07-26,1392332,Poor,1,Petrol,188522,Yes,50000
Audi,2024-02-27,1661873,Good,5,Petrol,148285,No,249860
BMW,2019-11-15,764241,Excellent,2,Petrol,164848,No,72662
Ford,2023-04-01,2377434,Good,3,Petrol,121213,Yes,367883
Honda,2021-04-24,776946,Poor,4,Electric,154740,No,54512
BMW,2015-02-21,2161747,Average,1,Electric,5166,No,177009
Hyundai,2022-02-02,1001869,Good,4,Hybrid,44950,No,219700
Honda,2020-01-16,508657,Good,2,Petrol,175879,Yes,50000
Honda,2024-01-15,1780456,Excellent,2,Diesel,132903,Yes,397444
Ford,2024-03-31,2298665,Average,1,Hybrid,133626,Yes,395592
BMW,2017-08-01,1092970,Average,3,Petrol,110015,No,63584
Mahindra,2015-09-29,2079290,Excellent,4,Diesel,89349,No,150934
BMW,2020-01-31,2280039,Good,4,Petrol,77391,No,275515
Ford,2020-11-20,2542686,Poor,5,Hybrid,111175,No,191725
Tata,2016-08-16,1933481,Good,2,Hybrid,96522,No,155447
Toyota,2024-06-19,1979374,Poor,1,Diesel,97516,Yes,302069
Audi,2016-01-10,1491090,Good,4,Diesel,106829,Yes,77935
Hyundai,2015-04-01,1575883,Good,5,Hybrid,121320,No,74890
Toyota,2020-07-02,1607925,Good,5,Electric,145779,No,164682
Ford,2018-05-30,921123,Good,1,Hybrid,152604,Yes,67940
Toyota,2024-10-18,1014641,Average,2,Hybrid,181372,Yes,129353
Honda,2023-03-31,2315080,Good,3,Petrol,143072,No,349217
Toyota,2021-12-23,408889,Poor,5,Hybrid,185923,Yes,50000
Ford,2018-03-05,2234525,Poor,2,Electric,111783,No,136301
Hyundai,2023-05-29,1519463,Average,2,Hybrid,40169,Yes,338396
Audi,2023-06-13,1125688,Good,2,Electric,181638,No,169657
BMW,2015-03-15,532775,Average,3,Diesel,125901,No,50000
Toyota,2017-01-14,2279274,Good,2,Diesel,92640,No,187249
Toyota,2015-12-25,704336,Poor,3,Hybrid,28178,No,50000
Hyundai,2015-12-31,1879440,Good,4,Hybrid,33065,No,160167
BMW,2020-02-24,2091513,Excellent,2,Petrol,98545,No,310046
Maruti,2021-08-16,999555,Excellent,1,Petrol,170829,Yes,114421
Tata,2024-06-26,2619131,Good,5,Petrol,128490,No,469593
Hyundai,2019-04-14,2875784,Poor,2,Hybrid,171696,No,134784
Hyundai,2022-09-07,670316,Good,2,Diesel,58252,No,160796
Toyota,2020-06-12,2002746,Poor,4,Hybrid,53409,Yes,175536
Honda,2024-07-08,2417393,Poor,5,Petrol,63251,No,360896
Tata,2017-03-27,1164097,Poor,1,Diesel,189338,Yes,50000
Kia,2018-02-12,2024105,Excellent,5,Electric,93609,No,225900
Toyota,2021-08-01,2377101,Excellent,4,Hybrid,166023,No,302607
Toyota,2019-06-22,925126,Average,2,Hybrid,21572,No,129371
Toyota,2018-11-16,1069419,Poor,4,Hybrid,199340,No,50000
Kia,2022-02-20,2355361,Poor,3,Hybrid,24834,No,356864
Tata,2024-08-14,2530438,Average,2,Electric,20591,No,871427
Mahindra,2016-04-16,1840741,Poor,2,Hybrid,109116,No,78895
Ford,2020-08-20,2527604,Average,4,Petrol,28165,Yes,293811
Toyota,2024-03-24,550485,Good,4,Diesel,137343,No,102190
Audi,2020-11-19,1782213,Poor,2,Diesel,21380,Yes,198587
Toyota,2016-09-18,938589,Average,1,Diesel,186703,Yes,50000
Audi,2020-10-03,1560491,Good,5,Electric,188911,No,119992
BMW,2024-06-27,1482524,Poor,3,Petrol,68257,No,242538
BMW,2024-11-04,1945554,Good,4,Electric,40815,No,720958
Kia,2016-09-28,2200798,Good,5,Petrol,173862,No,82384
Hyundai,2015-12-07,1938853,Average,5,Electric,112920,No,91656
Ford,2023-12-10,1000243,Good,5,Petrol,48165,No,240999
BMW,2018-02-15,837228,Average,3,Hybrid,67791,Yes,66875
Mahindra,2021-07-07,347993,Poor,1,Diesel,191089,Yes,50000
BMW,2015-03-13,1110951,Good,1,Electric,29089,No,105417
Audi,2021-03-26,1220218,Good,4,Petrol,104654,Yes,140398
Tata,2022-12-15,1968456,Good,5,Electric,76872,No,434691
Mahindra,2021-12-08,2424381,Poor,2,Diesel,7083,Yes,336962
Kia,2018-09-21,1278629,Poor,5,Hybrid,11129,No,103709
Audi,2015-11-10,1218391,Good,2,Electric,79813,No,99423
Honda,2020-10-18,514951,Good,4,Diesel,162989,No,50000
Hyundai,2015-01-23,1118632,Poor,5,Diesel,21427,No,50000
Mahindra,2023-05-13,1774348,Average,2,Electric,16091,No,506121
Hyundai,2023-06-25,588922,Excellent,2,Electric,81417,No,197750
Audi,2022-08-13,2590969,Good,1,Petrol,95027,No,512000
Mahindra,2024-11-16,1664118,Good,3,Diesel,73905,No,505264
Kia,2019-10-28,1815811,Poor,5,Electric,86316,Yes,124600
Hyundai,2023-02-25,936419,Good,1,Electric,50748,No,298155
Maruti,2017-01-07,2428591,Excellent,4,Hybrid,50606,No,273962
Ford,2023-02-20,338956,Excellent,4,Petrol,31673,No,97376
Kia,2022-04-08,2286354,Excellent,5,Hybrid,39226,No,595970
Hyundai,2016-12-13,1445736,Poor,1,Electric,91409,Yes,75879
BMW,2015-07-21,727180,Average,4,Diesel,78048,No,50000
Honda,2020-02-17,2663353,Average,5,Hybrid,8302,No,365648
Toyota,2022-07-20,2170470,Good,1,Hybrid,136661,No,386461
Kia,2024-09-27,2920974,Average,4,Diesel,5306,Yes,768745
Maruti,2022-12-20,2721892,Good,3,Electric,66449,No,709370
Audi,2023-12-06,592314,Poor,1,Petrol,122326,No,75380
Tata,2024-06-08,2871428,Average,3,Petrol,189156,Yes,267355
BMW,2017-05-29,1677811,Good,3,Electric,28519,No,205760
Mahindra,2018-11-24,2372270,Average,4,Electric,151393,Yes,137970
Honda,2022-11-17,1391446,Excellent,3,Diesel,37163,No,425809
Kia,2024-07-28,2585495,Good,4,Hybrid,67177,No,775093
Tata,2024-03-27,731868,Excellent,5,Electric,17446,No,302492
BMW,2022-02-13,699565,Excellent,4,Hybrid,15052,No,206679
Kia,2018-12-08,551690,Poor,4,Electric,59700,Yes,50000
Kia,2022-05-14,766712,Good,4,Petrol,103255,Yes,106834
Kia,2020-07-19,2258362,Average,3,Petrol,29028,Yes,273154
BMW,2024-05-18,1734686,Excellent,3,Diesel,178720,Yes,281373
BMW,2024-12-09,1637034,Average,4,Petrol,157935,Yes,200254
Honda,2022-08-21,2807376,Excellent,4,Hybrid,99387,No,635200
Tata,2017-09-17,2221364,Poor,1,Electric,10178,Yes,183335
Mahindra,2019-04-08,1516025,Excellent,5,Electric,74169,No,223202
Toyota,2020-05-12,2581122,Excellent,4,Hybrid,77414,No,447573
Toyota,2017-10-04,572067,Average,1,Hybrid,197481,No,50000
Kia,2018-11-01,1201434,Excellent,5,Electric,86254,No,156046
Maruti,2019-05-08,569530,Good,1,Electric,14083,No,112071
Mahindra,2023-12-18,869700,Poor,5,Diesel,46742,Yes,122357
BMW,2021-03-24,1269797,Average,3,Electric,40737,Yes,199270
Maruti,2023-09-08,1166498,Good,3,Electric,92428,No,303624
Tata,2023-05-07,1861350,Good,3,Electric,30684,No,594834
Hyundai,2016-01-15,2829301,Excellent,4,Diesel,46049,No,259790
Mahindra,2019-04-29,920394,Good,2,Diesel,158894,Yes,67162
Kia,2018-10-03,2796288,Excellent,5,Petrol,34785,No,366359
Toyota,2024-03-27,788934,Excellent,3,Hybrid,97814,No,247056
Kia,2018-10-12,1255556,Good,4,Petrol,173344,Yes,62852
Hyundai,2022-06-16,2636079,Excellent,1,Diesel,35598,No,841906
Toyota,2024-02-15,1028698,Poor,2,Hybrid,73776,Yes,168111
Maruti,2021-11-01,805771,Average,4,Electric,115700,Yes,93715
Tata,2015-08-20,2848608,Good,4,Petrol,164627,No,101530
Kia,2023-11-02,2281834,Average,5,Electric,68073,No,483606
Audi,2016-07-10,879540,Excellent,1,Electric,20017,No,128453
Kia,2019-05-16,2220569,Good,5,Petrol,13640,No,289355
Audi,2017-11-14,2199484,Good,4,Petrol,78538,No,184516
Honda,2021-10-08,823766,Poor,1,Hybrid,10815,Yes,123516
Honda,2023-05-08,1371658,Average,5,Diesel,72029,Yes,209626
Hyundai,2018-02-28,2732463,Good,2,Hybrid,60622,No,331778
BMW,2015-07-15,2988150,Poor,3,Diesel,146134,Yes,72978
BMW,2016-10-19,1843817,Excellent,5,Petrol,39241,No,172828
Kia,2017-07-27,355565,Poor,3,Diesel,131617,Yes,50000
Kia,2022-05-27,753116,Excellent,5,Hybrid,129863,No,130903
Audi,2020-01-19,404997,Average,5,Electric,187154,Yes,50000
Maruti,2021-09-24,534159,Excellent,5,Electric,160594,Yes,65228
Toyota,2023-12-08,1075157,Average,4,Electric,114067,No,197231
Ford,2021-07-15,2953062,Good,3,Electric,179103,Yes,284064
Honda,2017-10-30,2967304,Excellent,2,Petrol,190553,No,163895
Mahindra,2020-05-26,2080612,Poor,4,Diesel,79759,No,168382
Tata,2018-01-28,510253,Average,3,Hybrid,150968,Yes,50000
Toyota,2018-04-21,772315,Poor,1,Diesel,116279,No,50000
Toyota,2024-11-03,2025923,Good,2,Petrol,26140,No,729791
Ford,2022-02-04,1780564,Good,1,Petrol,186002,Yes,161833
Hyundai,2021-12-13,2563435,Poor,1,Petrol,179101,No,160886
Tata,2016-03-09,2427534,Good,2,Hybrid,127485,Yes,138682
Audi,2022-03-08,2485985,Poor,1,Hybrid,31349,Yes,370366
Kia,2017-02-26,547994,Good,5,Hybrid,104114,No,50000
Ford,2020-06-17,824087,Good,4,Electric,60785,No,138174
Kia,2023-10-31,1173932,Poor,4,Electric,72816,No,194035
Audi,2015-01-27,1936779,Excellent,3,Petrol,122340,Yes,94559
Ford,2019-04-17,389242,Good,4,Diesel,16542,No,56421
Maruti,2020-12-30,1378864,Average,1,Electric,36092,Yes,235752
Ford,2020-06-08,1615919,Poor,2,Hybrid,43429,Yes,164408
Maruti,2019-02-11,422484,Good,3,Petrol,170137,No,50000
Honda,2020-01-26,1199929,Poor,3,Petrol,28992,Yes,100704
Hyundai,2018-09-07,1768815,Poor,4,Electric,171489,Yes,64444
Kia,2020-09-30,1833997,Excellent,5,Electric,68071,No,352839
BMW,2019-10-20,2797191,Good,5,Petrol,19137,No,383381
Toyota,2018-09-30,1033323,Average,3,Petrol,182593,Yes,50000
Toyota,2019-12-04,309712,Good,4,Electric,172423,Yes,50000
Maruti,2015-01-13,2631292,Excellent,2,Petrol,95054,No,172733
Audi,2024-08-02,2933662,Average,3,Hybrid,134452,No,530882
Audi,2023-04-14,1006537,Excellent,3,Electric,57584,No,343898
Hyundai,2015-12-01,1461935,Excellent,2,Electric,82387,No,142812
BMW,2018-09-26,1385738,Excellent,3,Electric,42838,No,239737
Mahindra,2015-02-20,795108,Poor,2,Petrol,183739,No,50000
Audi,2015-10-26,1675786,Excellent,3,Electric,112420,Yes,118402
BMW,2015-05-12,355880,Excellent,1,Electric,58155,No,50000
Mahindra,2017-09-28,1272190,Excellent,3,Diesel,140985,Yes,91944
Ford,2021-12-01,2436938,Poor,5,Electric,118903,Yes,199233
Honda,2015-07-27,625647,Poor,1,Diesel,80003,Yes,50000
Toyota,2015-09-28,1959651,Excellent,5,Electric,109471,No,137178
Kia,2018-08-18,2724521,Poor,2,Hybrid,5324,No,263671
BMW,2015-06-27,1472914,Good,1,Diesel,176407,Yes,53081
Honda,2021-05-05,1880444,Good,1,Diesel,71091,No,361476
Kia,2017-07-29,958929,Average,3,Hybrid,19341,Yes,84653
Hyundai,2018-10-15,2566658,Poor,5,Hybrid,96005,Yes,133733
Audi,2019-12-15,733598,Average,5,Electric,150908,No,53157
Honda,2024-04-30,1282596,Average,2,Diesel,60523,Yes,286771
Toyota,2018-07-28,1878595,Good,3,Hybrid,117598,Yes,158430
Kia,2017-06-19,1667585,Good,1,Diesel,177091,Yes,82462
Mahindra,2022-08-28,741466,Poor,2,Petrol,185008,Yes,50000
Hyundai,2017-08-20,2699091,Excellent,3,Petrol,166250,Yes,150502
Tata,2024-11-15,1925534,Excellent,3,Petrol,145456,Yes,402637
Ford,2015-09-01,727100,Poor,3,Hybrid,132191,Yes,50000
Ford,2024-09-07,1505698,Excellent,5,Hybrid,78662,No,493581
Mahindra,2015-06-25,2299254,Good,5,Hybrid,143672,No,99285
Hyundai,2019-06-01,1038918,Excellent,3,Petrol,74801,No,144753
Kia,2021-05-30,1985839,Excellent,1,Electric,67600,No,532979
Honda,2022-05-07,635373,Good,1,Electric,51891,No,176666
BMW,2022-11-11,828362,Good,3,Diesel,47501,No,202395
Maruti,2017-01-21,2032814,Good,3,Electric,49596,No,217203
Hyundai,2015-11-08,2939503,Excellent,4,Diesel,8976,No,300086
Kia,2015-09-08,1333829,Good,5,Petrol,112166,Yes,56349
Ford,2020-10-12,1387066,Poor,2,Hybrid,181968,No,76298
Tata,2024-04-20,2093467,Good,1,Hybrid,124633,No,532151
Honda,2024-12-09,2539218,Excellent,5,Diesel,151403,Yes,491442
Tata,2019-02-18,2629915,Excellent,2,Diesel,58037,No,425304
Audi,2016-03-21,2719889,Good,5,Hybrid,6123,No,248995
Maruti,2023-02-19,1685107,Poor,4,Petrol,124464,Yes,142448
Hyundai,2016-07-11,425018,Good,5,Diesel,82560,No,50000
Honda,2015-12-05,1448693,Good,4,Diesel,107468,No,82520
Ford,2022-08-27,2176614,Excellent,1,Electric,60287,No,737554
Hyundai,2022-04-05,2606128,Poor,5,Electric,186932,No,156268
Ford,2024-02-22,2995824,Good,4,Petrol,173741,Yes,357646
Tata,2022-05-01,2854554,Poor,5,Diesel,168504,No,177687
Tata,2015-09-14,2691797,Poor,5,Petrol,168992,No,53018
Hyundai,2022-04-21,2205813,Excellent,5,Electric,169512,Yes,276720
Tata,2016-04-22,1542648,Excellent,1,Diesel,99499,No,137438
Honda,2019-06-29,1778104,Average,5,Electric,26401,Yes,197373
Tata,2016-12-22,2084004,Average,1,Electric,29788,Yes,189679
Audi,2017-11-19,2557899,Poor,2,Petrol,157552,Yes,83487
Mahindra,2016-11-20,1109376,Poor,4,Electric,94067,Yes,50000
Mahindra,2022-12-29,1866862,Excellent,3,Electric,67575,No,583360
Ford,2016-07-17,882486,Excellent,3,Petrol,85982,No,73247
Mahindra,2021-05-15,1357863,Average,3,Diesel,87137,No,175541
Toyota,2023-08-07,2961547,Average,2,Diesel,103690,No,535513
BMW,2018-08-23,414489,Poor,2,Diesel,42359,Yes,50000
Toyota,2018-02-26,2849028,Excellent,1,Petrol,77347,No,355315
Ford,2019-07-16,718537,Poor,1,Diesel,156118,Yes,50000
BMW,2018-10-09,987998,Poor,3,Hybrid,82394,Yes,61612
Hyundai,2016-04-09,825675,Good,3,Hybrid,140440,Yes,50000
Honda,2015-02-24,2023140,Average,3,Petrol,77727,Yes,83420
Ford,2016-01-31,2921443,Excellent,2,Hybrid,116713,Yes,209214
Toyota,2015-07-08,677646,Excellent,4,Petrol,166726,Yes,50000
Ford,2024-01-08,2390497,Excellent,3,Electric,41437,No,981999
Toyota,2018-07-27,327270,Excellent,4,Diesel,113284,No,50000
Mahindra,2024-02-14,1121457,Average,4,Petrol,9414,Yes,245626
Maruti,2019-01-21,855577,Average,3,Electric,43964,Yes,93150
Hyundai,2017-10-18,1796126,Average,2,Electric,39247,No,190316
Ford,2015-08-30,1344050,Good,3,Diesel,79485,No,88920
Toyota,2018-08-22,1750622,Good,5,Petrol,123543,No,124811
Ford,2024-12-25,2404647,Good,3,Petrol,5787,No,902266
Tata,2016-02-05,2695266,Poor,5,Electric,134940,No,86595
Toyota,2022-06-23,1356684,Average,1,Petrol,123781,No,180248
Toyota,2015-10-02,2672926,Poor,5,Hybrid,70951,No,106041
Audi,2021-03-17,1715341,Excellent,3,Petrol,199334,No,143012
Hyundai,2016-02-14,2548883,Poor,1,Hybrid,151384,No,87094
Hyundai,2024-08-31,713641,Average,4,Petrol,40973,Yes,152238
Hyundai,2016-08-16,1394336,Average,3,Petrol,96335,Yes,66968
Hyundai,2023-02-15,2731347,Excellent,4,Electric,85210,No,761011
Tata,2022-06-27,1169738,Poor,3,Diesel,44318,Yes,147031
Audi,2017-09-08,904618,Excellent,5,Petrol,23474,No,103875
Maruti,2016-05-09,2521853,Excellent,1,Electric,77004,No,285356
Mahindra,2021-01-28,2619257,Average,3,Petrol,28983,Yes,345291
Tata,2021-05-01,2193892,Excellent,1,Diesel,188041,No,247080
Toyota,2024-02-13,397595,Good,3,Diesel,110474,Yes,80506
Toyota,2022-02-06,1683499,Excellent,5,Electric,77365,No,387396
Tata,2024-02-27,888959,Average,5,Hybrid,31365,Yes,194732
Honda,2017-05-10,1344924,Excellent,5,Diesel,70909,No,129892
Maruti,2020-04-06,350613,Excellent,4,Diesel,167996,Yes,50000
Honda,2017-11-29,2281244,Excellent,2,Diesel,88437,No,264470
Hyundai,2020-07-17,1577681,Excellent,2,Hybrid,81665,No,308864
BMW,2020-06-09,1105998,Poor,2,Electric,107389,No,99772
Kia,2020-07-15,2900569,Poor,5,Petrol,138366,Yes,139264
BMW,2018-06-24,2656887,Good,4,Hybrid,150578,Yes,170752
BMW,2023-05-04,1340518,Excellent,3,Electric,133009,No,318326
Toyota,2024-03-16,2909157,Good,2,Hybrid,173306,Yes,449720
Mahindra,2018-02-05,2393273,Average,2,Petrol,184861,No,96844
Kia,2019-03-31,751663,Average,5,Electric,162673,No,50000
Tata,2020-12-28,1588756,Excellent,3,Diesel,61810,No,324197
Tata,2016-04-18,2838917,Good,4,Hybrid,43710,No,243838
Kia,2024-10-02,675719,Average,1,Electric,153467,Yes,118165
Mahindra,2017-11-24,1624625,Average,4,Electric,62715,No,142489
Tata,2017-02-06,1183699,Excellent,1,Hybrid,148643,Yes,86959
Maruti,2022-04-02,1001292,Poor,2,Diesel,17058,No,157213
Toyota,2015-09-02,452930,Poor,3,Diesel,173041,Yes,50000
Ford,2023-03-14,1248508,Good,3,Electric,128317,No,248303
Audi,2017-12-26,1820164,Excellent,5,Electric,82067,No,209963
BMW,2023-06-23,2121758,Average,1,Electric,19723,Yes,576457
Honda,2019-10-19,1194290,Good,1,Electric,188898,Yes,88415
Mahindra,2017-09-16,1383684,Good,2,Electric,30476,No,186752
Honda,2021-02-17,2975415,Poor,3,Diesel,122168,Yes,208670
Tata,2019-03-15,2136552,Good,2,Diesel,95797,No,245718
Audi,2016-07-29,2983531,Average,3,Petrol,115190,No,143324
Kia,2015-11-11,1462557,Poor,2,Electric,21538,Yes,81541
Tata,2023-01-06,2320645,Excellent,1,Diesel,169122,No,401757
Kia,2017-06-02,1097939,Poor,1,Electric,94686,Yes,61207
Toyota,2015-04-18,841571,Average,3,Electric,8982,Yes,56485
Tata,2016-01-31,2277730,Poor,5,Hybrid,13803,Yes,107242
Mahindra,2024-08-13,2592957,Poor,3,Hybrid,154876,Yes,279016
Tata,2020-12-12,582412,Average,2,Hybrid,164518,Yes,50000
Tata,2017-07-18,1808514,Excellent,5,Electric,180503,No,106477
Ford,2023-05-03,932076,Excellent,5,Electric,160599,Yes,147747
Tata,2023-04-19,1368680,Excellent,4,Petrol,199229,No,151530
Mahindra,2015-02-03,2384786,Excellent,1,Hybrid,143933,Yes,130286
Hyundai,2021-01-26,2039297,Poor,1,Petrol,42252,Yes,212872
Kia,2015-05-19,2536521,Good,4,Petrol,176591,No,79073
Maruti,2017-03-27,1807037,Good,4,Diesel,104962,No,129003
Tata,2015-03-13,1536820,Poor,1,Electric,171424,Yes,50000
Mahindra,2024-04-28,918856,Good,3,Diesel,146252,Yes,156056
Tata,2023-05-08,1102465,Average,2,Electric,133908,No,183562
Toyota,2017-03-11,2086848,Poor,2,Petrol,182900,No,55585
Toyota,2020-10-15,1344789,Poor,1,Diesel,18216,No,174508
Ford,2024-02-12,642335,Poor,3,Electric,125579,Yes,81357
BMW,2024-09-16,1497780,Good,1,Diesel,83041,No,471879
Audi,2024-07-27,864303,Poor,2,Petrol,6015,Yes,172698
BMW,2018-10-28,942932,Average,3,Electric,158663,No,60628
Honda,2024-02-22,860411,Poor,2,Petrol,75963,No,135804
Audi,2016-08-31,2890741,Good,5,Diesel,197271,Yes,83928
Hyundai,2015-11-06,1917869,Poor,3,Hybrid,177834,Yes,50000
Toyota,2023-10-09,2609350,Poor,2,Electric,166446,Yes,252547
Maruti,2018-11-03,2948479,Poor,2,Diesel,16314,Yes,239865
Kia,2022-08-30,654268,Excellent,3,Diesel,191506,No,79789
Ford,2018-06-19,2114120,Good,3,Diesel,164436,No,135655
Mahindra,2019-06-22,1354016,Excellent,2,Diesel,178205,No,116477
Kia,2016-03-28,2767369,Poor,1,Hybrid,38630,No,169516
Audi,2019-11-04,1157662,Average,4,Hybrid,93941,Yes,102457
Kia,2021-04-10,2041954,Excellent,5,Diesel,150836,No,242830
Toyota,2022-10-04,1787167,Poor,2,Diesel,12910,Yes,278247
Mahindra,2020-08-07,1730496,Excellent,5,Petrol,112973,No,215841
Honda,2023-10-17,1758185,Good,5,Hybrid,5893,No,551968
Hyundai,2017-12-17,1548826,Good,5,Hybrid,169191,Yes,75395
Audi,2020-04-30,2916645,Average,4,Petrol,144173,Yes,184894
Audi,2024-06-03,2203421,Average,5,Electric,155939,No,319067
Maruti,2016-05-18,502703,Excellent,3,Hybrid,159438,Yes,50000
Toyota,2021-07-01,2874858,Excellent,3,Petrol,58496,No,602809
Maruti,2022-01-13,775238,Poor,2,Hybrid,40871,No,114798
Tata,2024-09-12,1179249,Average,3,Petrol,29987,Yes,279147
Kia,2020-04-15,406674,Poor,4,Diesel,11802,Yes,50000
Hyundai,2024-10-06,2285884,Average,3,Diesel,149222,Yes,327220
Honda,2023-03-16,1578377,Good,4,Diesel,170075,No,198140
Mahindra,2018-01-26,899913,Average,4,Electric,183129,Yes,50000
Honda,2021-06-19,1242645,Excellent,4,Petrol,65974,No,237195
Maruti,2015-08-20,1651319,Average,5,Hybrid,89431,Yes,70900
Honda,2016-05-04,763588,Good,1,Diesel,69345,No,65567
Toyota,2018-07-24,602406,Poor,1,Hybrid,116161,No,50000
Toyota,2023-07-02,1135376,Excellent,4,Hybrid,43750,No,377543
Ford,2020-04-06,1958812,Poor,3,Petrol,168571,No,91428
Honda,2020-12-29,1313623,Good,3,Hybrid,157744,Yes,128130
Hyundai,2024-08-28,405780,Excellent,4,Electric,91786,No,140633
Kia,2015-02-06,1687523,Good,1,Hybrid,113705,Yes,91830
Honda,2015-07-26,2494191,Excellent,1,Diesel,197242,No,100940
Honda,2022-06-22,1738969,Poor,4,Hybrid,7581,No,279200
